id,title,coloringPrompt
animal_sheep_vi_3_5,Con cừu,"Một chú cừu tròn trịa, dễ thương đứng trên đồng cỏ, nét đơn giản cho trẻ em tô màu."
animal_elephant_vi_3_5,Con voi,"Một chú voi con vui vẻ có tai to và vòi dài, nét rõ ràng cho bé tô màu."
animal_cat_vi_3_5,Con mèo,"Một chú mèo con đang nằm cuộn tròn ngủ, nét đơn giản dễ tô màu."
animal_dog_vi_3_5,Con chó,"Một chú chó con vui vẻ đang vẫy đuôi, nét to rõ cho bé tô màu."
animal_duck_vi_3_5,Con vịt,"Một chú vịt con bơi trên ao, có vài bông hoa súng, nét đơn giản."
animal_cow_vi_3_5,Con bò,"Một con bò dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_chicken_vi_3_5,Con gà,"Một con gà dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_rabbit_vi_3_5,Con thỏ,"Một con thỏ dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_frog_vi_3_5,Con ếch,"Một con ếch dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_fish_vi_3_5,Con cá,"Một con cá dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_bird_vi_3_5,Con chim,"Một con chim dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_horse_vi_3_5,Con ngựa,"Một con ngựa dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_pig_vi_3_5,Con heo,"Một con heo dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_bee_vi_3_5,Con ong,"Một con ong dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_butterfly_vi_3_5,Con bướm,"Một con bướm dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_turtle_vi_3_5,Con rùa,"Một con rùa dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_monkey_vi_3_5,Con khỉ,"Một con khỉ dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_lion_vi_3_5,Con sư tử,"Một con sư tử dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_penguin_vi_3_5,Con chim cánh cụt,"Một con chim cánh cụt dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
animal_snail_vi_3_5,Con ốc sên,"Một con ốc sên dễ thương, nét đơn giản, rõ ràng cho trẻ 3-5 tuổi tô màu."
